TICKER,SECTOR,MARKETCAP
RELIANCE.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
HDFCBANK.NS,BANK SECTOR,LARGE CAP
INFY.NS,IT SECTOR,LARGE CAP
ICICIBANK.NS,BANK SECTOR,LARGE CAP
TCS.NS,IT SECTOR,LARGE CAP
KOTAKBANK.NS,BANK SECTOR,LARGE CAP
HINDUNILVR.NS,FMCG SECTOR,LARGE CAP
LT.NS,INFRASTRUCTURE SECTOR,LARGE CAP
AXISBANK.NS,BANK SECTOR,LARGE CAP
BAJFINANCE.NS,BANK SECTOR,LARGE CAP
ITC.NS,FMCG SECTOR,LARGE CAP
SBIN.NS,BANK SECTOR,LARGE CAP
BHARTIARTL.NS,MEDIA & TELECOM SECTOR,LARGE CAP
ASIANPAINT.NS,CONSUMER DURABLES,LARGE CAP
HCLTECH.NS,IT SECTOR,LARGE CAP
TATASTEEL.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
BAJAJFINSV.NS,BANK SECTOR,LARGE CAP
WIPRO.NS,IT SECTOR,LARGE CAP
MARUTI.NS,AUTO SECTOR,LARGE CAP
ULTRACEMCO.NS,INFRASTRUCTURE SECTOR,LARGE CAP
TECHM.NS,IT SECTOR,LARGE CAP
TITAN.NS,CONSUMER DURABLES,LARGE CAP
SUNPHARMA.NS,PHARMA/HEALTHACARE SECTOR,LARGE CAP
M&M.NS,AUTO SECTOR,LARGE CAP
HINDALCO.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
HDFCLIFE.NS,BANK SECTOR,LARGE CAP
JSWSTEEL.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
DIVISLAB.NS,PHARMA/HEALTHACARE SECTOR,LARGE CAP
INDUSINDBK.NS,BANK SECTOR,LARGE CAP
GRASIM.NS,INFRASTRUCTURE SECTOR,LARGE CAP
DRREDDY.NS,PHARMA/HEALTHACARE SECTOR,LARGE CAP
POWERGRID.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
ADANIPORTS.NS,INFRASTRUCTURE SECTOR,LARGE CAP
NTPC.NS,"METAL,ENERGY,OIL & GAS SECTOR",LARGE CAP
TATAMOTORS.NS,AUTO SECTOR,LARGE CAP
TATACONSUM.NS,FMCG SECTOR,LARGE CAP
NAUKRI.NS,IT SECTOR,LARGE CAP
SBILIFE.NS,BANK SECTOR,LARGE CAP
BAJAJ-AUTO.NS,AUTO SECTOR,LARGE CAP
CIPLA.NS,PHARMA/HEALTHACARE SECTOR,LARGE CAP
BRITANNIA.NS,FMCG SECTOR,LARGE CAP
